Word,Majority_accuracy,Majority_precision,Majority_recall,Majority_f1,RF_accuracy,RF_precision,RF_recall,RF_f1,SVM_accuracy,SVM_precision,SVM_recall,SVM_f1
1 Pass (پاس),0.9076923076923077,0.8239053254437869,0.9076923076923077,0.863771712158809,0.9076923076923077,0.8239053254437869,0.9076923076923077,0.863771712158809,0.8923076923076924,0.8225961538461538,0.8923076923076924,0.8560350218886804
10 Zabaan (زبان),0.8181818181818182,0.6694214876033058,0.8181818181818182,0.7363636363636363,0.8181818181818182,0.6694214876033058,0.8181818181818182,0.7363636363636363,0.7818181818181819,0.7222816399286986,0.7818181818181819,0.7423553719008263
11 Baras (برس),0.9636363636363636,0.928595041322314,0.9636363636363636,0.9457912457912458,0.9636363636363636,0.928595041322314,0.9636363636363636,0.9457912457912458,0.9454545454545454,0.9279461279461279,0.9454545454545454,0.9366185216652507
12 Mulk (ملک),0.76,0.5776,0.76,0.6563636363636364,0.76,0.5776,0.76,0.6563636363636364,0.68,0.5617391304347826,0.68,0.6152380952380953
13 Car (کار),0.66,0.43560000000000004,0.66,0.5248192771084337,0.66,0.43560000000000004,0.66,0.5248192771084337,0.72,0.6684782608695652,0.72,0.6431571109456441
14 Rang (رنگ),0.68,0.46240000000000003,0.68,0.5504761904761906,0.68,0.46240000000000003,0.68,0.5504761904761906,0.6,0.47441860465116276,0.6,0.5298701298701299
15 Shakal (شکل),0.76,0.5776,0.76,0.6563636363636364,0.76,0.5776,0.76,0.6563636363636364,0.68,0.5742222222222222,0.68,0.6226506024096385
16 Sawal (سوال),0.9555555555555556,0.9130864197530865,0.9555555555555556,0.9338383838383838,0.9555555555555556,0.9130864197530865,0.9555555555555556,0.9338383838383838,0.9333333333333333,0.9121212121212121,0.9333333333333333,0.9226053639846744
17 Umar (عمر),0.5111111111111111,0.26123456790123456,0.5111111111111111,0.34575163398692804,0.6666666666666666,0.6934640522875817,0.6666666666666666,0.614703425229741,0.6888888888888889,0.6767921146953404,0.6888888888888889,0.6629379717099014
18 Khoon (خون),0.8,0.64,0.8,0.7111111111111111,0.8,0.64,0.8,0.7111111111111111,0.7555555555555555,0.7675213675213673,0.7555555555555555,0.7404444444444445
